CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
4431,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN,FACENE/RN,Faculdade,Mossoró,RN,Ativa
12718,Faculdade Acesita,FACESITA,Faculdade,Timóteo,MG,Ativa
4530,CENTRO UNIVERSITÁRIO TIRADENTES,UNIT,Centro Universitário,Maceió,AL,Ativa
17896,FACULDADE BRASILEIRA DE TECNOLOGIA,FBT,Faculdade,Feira de Santana,BA,Ativa
21819,FACULDADE REGIONAL DO AMAZONAS,FAM,Faculdade,Manaus,AM,Ativa
17403,FACULDADE ARI DE SÁ,FAS,Faculdade,Fortaleza,CE,Ativa
2393,FACULDADE MARISTA,FM,Faculdade,Belo Horizonte,MG,Extinta
11544,FACULDADE METROPOLITANA DE ANÁPOLIS,FAMA,Faculdade,Anápolis,GO,Ativa
1078,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO,null,Centro Universitário,Campo Mourão,PR,Ativa
3334,FACULDADE DE TECNOLOGIA SÃO GONÇALO,FATESG,Faculdade,São Gonçalo,RJ,Extinta
25511,FACULDADE SANAR,SANAR,Faculdade,Salvador,BA,Ativa
2616,FACULDADE SANTO ANTÔNIO DE PÁDUA,FASAP,Faculdade,Santo Antônio de Pádua,RJ,Ativa
1071,Faculdade Nova Roma de Campo Grande,FNR - Campo Grande,Faculdade,Campo Grande,MS,Ativa
1546,FACULDADE DE EDUCAÇÃO SÃO FRANCISCO,FAESF,Faculdade,Pedreiras,MA,Ativa
5052,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ TRÊS RIOS,Faculdade,Três Rios,RJ,Ativa
25223,FACULDADE ATENAS SORRISO,,Faculdade,Sorriso,MT,Ativa
17490,FACULDADE JOÃO PAULO II,FAJOP,Faculdade,Quirinópolis,GO,Ativa
224,Centro Universitário FMABC,FMABC,Centro Universitário,Santo André,SP,Ativa
17942,Faculdade de Tecnologia do Tatuapé,FATEC-TT,Faculdade,São Paulo,SP,Ativa
22222,FACULDADE UNIVERITAS UNIVERSUS VERITAS DE PIRACICABA,UNIVERITAS PCBA,Faculdade,Piracicaba,SP,Ativa
4616,FACULDADE ANHANGUERA DE CAXIAS DO SUL,null,Faculdade,Caxias do Sul,RS,Ativa
456,CENTRO UNIVERSITÁRIO SANT´ANNA,UNISANT'ANNA,Centro Universitário,São Paulo,SP,Ativa
1175,FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS,ESTÁCIO FARGS,Faculdade,Porto Alegre,RS,Ativa
12749,"FACULDADES UNIDAS DE PESQUISA, CIÊNCIAS E SAÚDE LTDA",FAPEC,Faculdade,Jequié,BA,Ativa
10009,FAMAC - FACULDADE DE MACHADINHO DO OESTE,FAMAC,Faculdade,Machadinho D´Oeste,RO,Extinta
16194,Faculdade Gran Tietê,FGT,Faculdade,Barra Bonita,SP,Ativa
